X,Y,Z,formation
0.0,0.0,-2344,topo
0.0,1000.0,-2311,topo
0.0,2000.0,-2250,topo
0.0,3000.0,-2192,topo
0.0,4000.0,-2171,topo
0.0,5000.0,-2222,topo
0.0,6000.0,-2352,topo
0.0,7000.0,-2510,topo
0.0,8000.0,-2628,topo
0.0,9000.0,-2691,topo
0.0,10000.0,-2717,topo
0.0,11000.0,-2707,topo
0.0,12000.0,-2657,topo
0.0,13000.0,-2574,topo
0.0,14000.0,-2461,topo
0.0,15000.0,-2350,topo
0.0,16000.0,-2279,topo
0.0,17000.0,-2227,topo
0.0,18000.0,-2077,topo
0.0,19000.0,-1831,topo
0.0,20000.0,-1660,topo
0.0,21000.0,-1595,topo
0.0,22000.0,-1557,topo
0.0,23000.0,-1522,topo
0.0,24000.0,-1488,topo
0.0,25000.0,-1466,topo
0.0,26000.0,-1459,topo
0.0,27000.0,-1459,topo
0.0,28000.0,-1460,topo
0.0,29000.0,-1471,topo
0.0,30000.0,-1501,topo
0.0,31000.0,-1539,topo
0.0,32000.0,-1552,topo
0.0,33000.0,-1499,topo
0.0,34000.0,-1377,topo
0.0,35000.0,-1234,topo
0.0,36000.0,-1122,topo
0.0,37000.0,-1053,topo
0.0,38000.0,-1006,topo
0.0,39000.0,-965,topo
0.0,40000.0,-926,topo
0.0,41000.0,-872,topo
0.0,42000.0,-784,topo
0.0,43000.0,-670,topo
0.0,44000.0,-565,topo
0.0,45000.0,-486,topo
0.0,46000.0,-425,topo
0.0,47000.0,-368,topo
0.0,48000.0,-316,topo
0.0,49000.0,-279,topo
0.0,50000.0,-246,topo
0.0,51000.0,-190,topo
0.0,52000.0,-106,topo
0.0,53000.0,-11,topo
0.0,54000.0,88,topo
0.0,55000.0,186,topo
0.0,56000.0,287,topo
0.0,57000.0,382,topo
0.0,58000.0,442,topo
0.0,59000.0,465,topo
0.0,60000.0,487,topo
0.0,61000.0,507,topo
0.0,62000.0,493,topo
0.0,63000.0,456,topo
0.0,64000.0,422,topo
0.0,65000.0,380,topo
0.0,66000.0,345,topo
0.0,67000.0,358,topo
0.0,68000.0,417,topo
0.0,69000.0,492,topo
0.0,70000.0,556,topo
0.0,71000.0,584,topo
0.0,72000.0,574,topo
0.0,73000.0,549,topo
0.0,74000.0,524,topo
0.0,75000.0,515,topo
0.0,76000.0,536,topo
0.0,77000.0,571,topo
0.0,78000.0,606,topo
0.0,79000.0,633,topo
0.0,80000.0,636,topo
0.0,81000.0,623,topo
0.0,82000.0,613,topo
0.0,83000.0,625,topo
0.0,84000.0,663,topo
0.0,85000.0,715,topo
0.0,86000.0,766,topo
0.0,87000.0,817,topo
0.0,88000.0,861,topo
0.0,89000.0,848,topo
0.0,90000.0,759,topo
0.0,91000.0,634,topo
0.0,92000.0,512,topo
0.0,93000.0,432,topo
0.0,94000.0,407,topo
0.0,95000.0,409,topo
0.0,96000.0,424,topo
0.0,97000.0,452,topo
0.0,98000.0,488,topo
0.0,99000.0,526,topo
0.0,100000.0,556,topo
0.0,101000.0,565,topo
0.0,102000.0,555,topo
0.0,103000.0,541,topo
0.0,104000.0,547,topo
0.0,105000.0,589,topo
0.0,106000.0,654,topo
0.0,107000.0,724,topo
0.0,108000.0,786,topo
0.0,109000.0,824,topo
0.0,110000.0,822,topo
0.0,111000.0,779,topo
